inventory_id,part_num,color_id,quantity,is_spare
56,3659,320,1,f
56,3660,19,2,f
56,3665,19,4,f
56,3666,320,4,f
56,3673,71,2,f
56,3700,0,9,f
56,3705,0,2,f
56,3710,70,2,f
56,3710,320,2,f
56,3710,0,9,f
56,3710,73,5,f
56,3710,72,3,f
56,3747a,0,5,f
56,3794a,0,4,f
56,3795,70,1,f
56,3830,71,2,f
56,3831,71,2,f
56,3832,19,2,f
56,3832,72,2,f
56,3846pr0028,71,2,f
56,3846pr0031,71,2,f
56,3849,0,3,f
56,3937,1,2,f
56,3941,0,1,f
56,3957a,19,4,f
56,4070,0,2,f
56,4085c,0,2,f
56,40902,0,1,f
56,4151a,0,1,f
56,41532,0,4,f
56,41539,71,1,f
56,41769,0,3,f
56,41770,0,3,f
56,4274,1,1,f
56,4274,1,1,t
56,43093,1,1,f
56,4332,0,1,f
56,43892,19,2,f
56,4424,73,2,f
56,44302a,0,3,f
56,4460a,19,4,f
56,4477,72,2,f
56,4477,19,2,f
56,4477,0,6,f
56,4490,19,12,f
56,4528,135,1,f
56,4589,182,2,f
56,4599a,0,1,f
56,4623,0,4,f
56,4740,0,2,f
56,4740,47,4,f
56,4740,334,4,f
56,4790,70,1,f
56,47980,0,1,f
56,47981,72,2,f
56,47986,0,1,f
56,47988,72,1,f
56,47994,0,4,f
56,47996,0,2,f
56,48002a,0,4,f
56,48005,0,1,f
56,4865a,0,4,f
56,6060,320,2,f
56,6091,320,4,f
56,6112,0,2,f
56,6126a,41,1,f
56,6134,71,2,f
56,6141,57,1,f
56,6141,15,1,t
56,6141,57,1,t
56,6141,60,4,f
56,6141,334,1,t
56,6141,320,1,t
56,6141,15,4,f
56,6141,320,4,f
56,6182,19,2,f
56,6231,0,2,f
56,6628,0,1,f
56,6636,0,3,f
56,upn0210,14,3,f
58,10201,71,2,f
58,10247,71,2,f
58,10247,72,10,f
58,10928,72,2,f
58,11153,320,4,f
58,11153,71,8,f
58,11203,19,2,f
58,11211,19,2,f
58,11211,71,8,f
58,11212,71,6,f
58,11212,72,2,f
58,11214,72,4,f
58,11215,71,3,f
58,11290,71,4,f
58,11458,72,6,f
58,11477,288,1,f
58,11477,71,21,f
58,11477,72,4,f
58,11610,0,4,f
58,11833,71,2,f
58,12825,0,17,f
58,12825,72,4,f
58,12939,71,2,f
58,13731,320,2,f
58,13731,72,4,f
58,15068,0,6,f
58,15068,378,15,f
58,15068,72,5,f
58,15207,71,2,f
58,15459,71,2,f
58,15573,71,2,f
58,15672,72,4,f
58,16477,47,1,f
58,18741,9999,1,f
58,19159,0,2,f
58,2357,320,6,f
58,2412b,72,10,f
58,2412b,71,13,f
58,2412b,0,3,f
58,2412b,179,4,f
58,2419,72,1,f
58,2420,320,2,f
58,2420,71,6,f
58,2420,19,11,f
58,2431,288,2,f
58,2431,71,2,f
58,2445,72,7,f
58,2445,0,4,f
58,2450,320,8,f
58,2450,71,4,f
58,2456,2,2,f
58,2465,0,1,f
58,2540,72,3,f
58,2639,72,4,f
58,2654,19,5,f
58,2654,72,1,f
58,2730,71,8,f
58,2730,0,4,f
58,2780,0,7,t
58,2780,0,103,f
58,2817,71,8,f
58,2825,4,2,f
58,3001,0,2,f
58,3001,72,12,f
58,3001,71,1,f
58,3001,19,5,f
58,3002,25,1,f
58,3002,0,2,f
58,3002,72,4,f
58,3003,272,1,f
58,3003,72,6,f
58,3003,320,2,f
58,3004,71,2,f
58,3004,288,4,f
58,3004,320,11,f
58,3005,71,4,f
58,3006,19,1,f
58,3007,71,2,f
58,3008,71,2,f
58,3009,71,1,f
58,3010,0,4,f
58,3010,72,2,f
58,3010,19,1,f
58,30165,0,2,f
58,3020,0,3,f
